Text,Language
in energy example a heavy lunch makes me very in the afternoon sluggish has roots from the word which means a slow person and a slug is an animal that moves around really very slowly like a snail examples.,English
the economy has been very sluggish this year or the match picked up after a sluggish start.,English
or business has been sluggish this quarter you can use it in your daily life if you're feeling very tired one day you can tell your mom or you can tell.,English
your friends i'm feeling very sluggish.,English
today i could do with a energy drink other words that you can use in place of sluggish could be lethargic or dragging my feet so those were the 10 smart words and before.,English
i give you that secret tip to sound very fluent i want to remind you that in.,English
case you're looking for smart words to use on a telephone call then i'm putting a link to a video.,English
down in the description box for that and now the secret tip the secret tip to sound fluent is to use not more than one smart word or sentence i know sometimes.,English
we get very excited because.,English
we've learnt a whole lot of these smart words and we tend to stuff two three four of them in one sentence that doesn't sound natural.,English
so one at a time be sure that you're pronouncing .the word in the right manner go on to google and type the word and in the search right on top you'll see a little speaker icon click on that speaker.,English
and hear the pronunciation once or twice.,English
and you're ready to go and if you've liked this video don't forget to give us a thumbs up with a comment.,English
for me under it telling me which of these 10 words what's your favorite and also.,English
if you haven't already press the subscribe button and the bell icon right next to it and happy watching.,English
hey guys welcome to my channel in this video.,English
i'm gonna give you top 50 english phrases that you can use in your everyday life.,English
so if you are just about to embark on your journey.,English
"to an english-speaking country, you can totally use this.",English
phrases if you have been learning english for a while and you want to resume learning.,English
this is the best video to start with so let's go 50 phrases in english in hopefully 10 minutes.,English
phrase number one this is another way to ask.,English
how are you?,English
how is it going?,English
how's it going?.,English
so you meet someone and you time how is it going?.,English
phrase number two when you haven't seen somebody for a while you tell him a long time no see so that means that you haven't seen this person maybe weeks or months a long time no see phrase number.,English
three if you want to ask you what have you been doing.,English
you ask what have you been up to so what was going on in your life?.,English
what have you been up to raise them before if everything is going?,English
well you can just answer can't complain everything is really cool.,English
"can't complain next phrase somebody tells you something and you haven't really mentioned it in the conversation like they guess somehow that you have a new job, and you ask him.",English
how do you know?.,English
where did you get the news like how do you.,English
know if somebody tells a cool joke you can tell that's a good one.,English
that's a great joke so the phrase is that's a good one.,English
if you want to thank somebody you can say it's very kind of you thank you so much for doing that that's very kind of you it is very kind of you if somebody.,English
"was trying to help you, but couldn't reach the result you can say.",English
"thank you anyway it doesn't matter, but thank you anyway.",English
thank you for your effort.,English
"no thank you anyway, and another phrase that i use in my email sometimes when i haven't asked for a person.",English
i ask and then i say in the end.,English
"thank you in advance, which means that i really hope that you're gonna.",English
do it some thanking you in advance.,English
"thank you in advance if somebody made a mistake, and he's really upset about it.",English
you can just say no worries.,English
"don't worry no worries, which means don't worry about it.",English
it's fine.,English
no worries imagine you came home and there are all of your friends sitting on your couch.,English
and you're like what's going on in here like what are you doing here?.,English
what is going on if you didn't catch something or it didn't understand the person you can always ask did i get you right?.,English
and then go ahead and explain where you got did i get you right?.,English
if you ask somebody not to be upset not to cry you can say don't take it to heart.,English
don't take it to heart like seriously don't be so upset don't take it to heart.,English
another way to ask if you didn't catch a part of a phrase you can say i didn't catch the last word.,English
i'm sorry.,English
can you repeat it because i didn't catch the last word if he wants somebody to repeat the whole phrase again.,English
you can say sorry.,English
i wasn't listening because maybe you were busy.,English
"maybe you were talking on the phone and somebody was talking to you, and you're like.",English
oh my god.,English
sorry i wasn't listening.,English
can you repeat it?.,English
i'm sorry.,English
i wasn't listening another phrase that i use all the time.,English
it doesn't matter like don't worry if you drop your coffee all over me.,English
it's like it doesn't matter.,English
i'll be fine.,English
i'm going to laundry anyway.,English
it doesn't matter if you want to wish somebody luck.,English
and i always do that you can say fingers crossed and you cross the fingers like that.,English
fingers crossed.,English
another phrase that americans use is oh bad that explains it and.,English
"the situation is you didn't get something and then you get an extra effect, and you get it.",English
and you're like oh that that explains it that explains it.,English
another way to tell the person to not be upset is you can say things happen like it's okay.,English
things happen do not be upset if you don't have the name of a person you want to talk to him.,English
you can say sorry to bother you you know you see.,English
somebody's busy you can always say sorry to bother you and then you can go ahead and ask.,English
"sorry to bother you.if you are in the middle of something in somebody's asking you something you can say oh.you're in the middle of something and somebody somebody's asking you to do something you say, i'm sorry.",English
i'll be with you in a minute i'll be with you in and then you resume doing something and you say where were we.,English
like when did we stop where were we and you have to repeat it because what it's the sound that somebody some people mistake with .,English
so this is a great way to practice where were we again if you're in the middle of a conversation?,English
and you didn't get what the other person was saying you can say you were saying and with a question mark.,English
which means which prompts the person to repeat once again?,English
you were saying .if somebody got a job of his dreams of whatever you can say lucky you or somebody got into the university of their dreams like lucky you this is a way of congratulating the person lucky you or like just emphasizing that he's lucky lucky you another way to say that you're really angry is to say i freaked out like i was so angry i .freaked out this is super angry.,English
"oh, this is like almost crazy.",English
i freaked out another phrase that native speakers use is good for you and this could be both positive and negative when you say i got promoted and if they say good for you like congratulations and sometimes if you say like i'm leaving this place.,English
they're like good for you it would be better without you and this is a negative meaning so really listen to the intonation.,English
if something surprises you you can also say you gotta be kidding me like oh my god.,English
i cannot believe it you gotta be kidding me to tell somebody to smile and to be happy you can always say cheer up cheer up.,English
if you want somebody just sound like crying and complaining about something that is not happening you can say come i'm you can do it i?,English
come on.,English
you can do it you can pass the toefl you can pass the gmat you will get it come on.,English
"you can do it if somebody is doing really well, you can tell them keep up the good work keep up the good work like be as good as you are and keep up the good work continue being another phrase is colloquial, and this is what americans say.",English
that's lit which means that's amazing many americans said in california.,English
"oh that's lit and you probably heard it in songs that's lit if somebody is successful after failures, so you can say there you go i told you you're gonna make it there you go if somebody's asking you if you're tired and you want to say you're not tired at all you can say not a bit nah.",English
i want to continue i'm not tired not of it when somebody is asking you are you sure and you're pretty sure you can say there is no room for that?,English
there is no room for doubt in america if you want to sms somebody or send them a message you say text to text so i'll text you means i will send you a message through whatsapp or a telegram or messenger of whatever using i'll text you again to cheer somebody up to tell them to not be upset you can say it's not worth it like why are you crying?,English
it's not worth it.,English
you're so much better than the problem you are crying about it's not worth your tears.,English
it's not worth it i personally love the phrase you rock which means you're amazing.,English
oh my god.,English
you rock you rock?,English
"no, you've done an amazing job.",English
"you rock if somebody's not working really well, and you want them to work harder you can say you should go an extra mile which means like work harder you should go an extra mile .",English
another way to say the very same thing you can say step up your game like work harder work better step up your game.,English
if somebody's crying and doesn't want it.,English
it sinks you say pull yourself together like literally take yourself and pull yourself together stop working stop crying pull yourself together.,English
hey calm down yourself together another phrase that .,English
i love you sold me because sometimes people describe their trip or somebody they bought and they describe it is so well.,English
"and they're like i want to buy the same thing and i tell them you sold it you sold me i wouldn't buy this alright, you sold me if you're not interested in the conversation.",English
you're like sitting you can say i could not care less this is so boring.,English
i'm not interested.,English
i couldn't care less if somebody's asking you something and this is a really easy decision for you like somebody tells you take my 1 million dollars and you say this is a no-brainer.,English
i'll take it.,English
this is a no-brainer means it's a really easy decision for you if you've done something wrong and you admit it you can say i screwed up yes guys.,English
i know.,English
i'm sorry.,English
i screwed up.,English
this is my mistake.,English
i screwed up i screwed it up if you want somebody to work instead of me you can say.,English
can you cover me like can you work instead of me while i'm seeing my friend.,English
can you cover me it's time to leave and guys i'd better be going which means i should go already.,English
it's you know.,English
it's actually 1 9 p.m.. right now.,English
i'd better be going another way to say goodbye.,English
"i can say take care, which means take care of yourself.",English
i'll see you later.,English
take care.,English
"i don't know what day is it when you're watching this video, but if it's friday for example weekend.",English
you can say thank heavens is friday or think heavens said saturday weekend discovery.,English
i'm so happy this was it guys 50 phrases in english let me know if this was helpful by liking this video and commenting below if you know any more cool phrases.,English
that would be great there's a red button over there somewhere.,English
hello and welcome.,English
in this video i will give you 100 common and very useful sentences that you can use in conversation.,English
when you hear a sentence practice saying it after me.,English
try to copy my pronunciation exactly including the tone of voice that i use.,English
alright let's begin.,English
basic greetings how's it going?,English
how are things?,English
what's up?,English
nice to meet you.,English
"long time, no see.",English
how have you been?,English
"great, thanks.",English
how about you?,English
not much.,English
the usual.,English
i've got to get going.,English
it was a pleasure meeting you see you later.,English
stay in touch.,English
asking for information.,English
could you tell me what this word means?,English
would you happen to know where the library is?,English
hesitating.,English
that's a good question.,English
let me see.,English
let me think for a moment.,English
asking for repetition.,English
excuse me?,English
"sorry, i didn't catch that.",English
would you mind repeating that?,English
"can you speak a little more slowly, please?",English
"saying ""i don't know"".",English
i'm afraid i have no idea.,English
"can't help you there, sorry.",English
beats me.,English
opinions.,English
what do you think about that?,English
what are your views on this?,English
i think that's a good idea.,English
i honestly don't think it's going to work.,English
"as far as i'm concerned, this is the best restaurant in town.",English
avoiding a question.,English
i don't have an opinion on the matter.,English
let me get back to you on that.,English
i'm not at liberty to say.,English
agreeing and disagreeing.,English
i couldn't agree more.,English
you're absolutely right.,English
i agree with you 100%.,English
you hit the nail on the head.,English
i'm not sure i agree.,English
i'm afraid i disagree.,English
i think you're mistaken.,English
interrupting politely.,English
sorry to interrupt you.,English
can i stop you there for a moment?,English
do you mind if i jump in here?,English
go ahead.,English
sure go on.,English
let me finish.,English
hold on for a moment.,English
suggestions.,English
what do you say we go to the movies?,English
how about having pizza for dinner tonight?,English
that would be great.,English
sounds good to me.,English
i'm not sure about that.,English
"no, i don't think so.",English
making plans.,English
what are you doing tonight?,English
got any plans for tomorrow?,English
are you free next saturday?,English
do you want to do something this weekend?,English
"sure, what do you have in mind?",English
"i'm free all weekend, let's do something.",English
"no, sorry, i've already mad some plans.",English
i'm kind of busy tomorrow.,English
i'd love to do something but i can't.,English
permission.,English
do you mind if i use your cell phone?,English
would it be okay if i took the day off tomorrow?,English
"yes, please do sure, go ahead.",English
"no, not at all.",English
"unfortunately, i have to say no.",English
i'd rather you didn't.,English
i'm afraid i do.,English
making requests.,English
"could you pass me the salt, please?",English
would you mind lending me some money?,English
i was wondering if yo could help me with this.,English
"sure, no problem.",English
"yeah, of course.",English
i'd be glad to help.,English
"sorry, i can't right now.",English
i'm afraid i can't.,English
making offers.,English
can i get you a glass of water?,English
how about some ice cream?,English
would you like me to give yo a ride home?,English
"yes, please.",English
"that would be great, thanks.",English
i'm ok but thanks for offering.,English
"no, i'm good, thanks.",English
thanking people.,English
thanks a million.,English
cheers i really appreciate it.,English
that's very kind of you.,English
i can't thank you enough.,English
it's nothing.,English
don't mention it.,English
any time.,English
my pleasure.,English
asking someone to wait.,English
"can you hold on  moment, please?",English
hang on one second.,English
bear with me just a moment.,English
i'll be right with you.,English
apologizing.,English
i'm really sorry about that.,English
please accept my apologies.,English
don't worry about it.,English
no worries.,English
"alright, if you want more lessons on common sentences and phrases let me know in the comments section below.",English
also if you liked this video give it a thumbs up by hitting the like button and remember to subscribe to this channel by clicking the subscribe button to get my latest lessons right here on youtube.,English
happy learning and i will see you in another lesson soon.,English
the golden bread once upon a time in a tiny village there lived a woman named marion.,English
with her only daughter narcisa marion was extremely humble and sweet narcisa however was completely the opposite you see she was beautiful beyond words she was like a living.,English
doll and the most amusing part is she loved herself to no ends narcisa would you.,English
help me bake the bread huh no way mom the flour maids all my bright and sparkly eyes.,English
narcisa would you help me plant these seeds what why would i do that what have i got all that dirt on my lovely fingers worse what if it went onto my face well that was the problem with narcisa.,English
she thought herself too great to do any work many suitors came to ask for narcissus hand in marriage.,English
since her beauty was known far and wide but she rejected them all very rudely why did you send those men away yesterday they seemed nice you can't be serious mom one of them.,English
had such small eyes almost like a bird's and the other had a huge nose i wouldn't want to be near him.,English
when he sneezed oh oh and the last stop no i don't want to hear any more all i could see was that those men were really nice my dear you must know that beauty.,English
isn't everything mother you have to realize i deserve someone like a prince or a knight.,English
oh dear one night when she was sleeping her mother sat at her side watching her.,English
my dear child you are so beautiful and lovely but you do not care about anything other than your beauty.,English
at that moment narcissus started to laugh in her sleep her mother was extremely surprised how nice she must be having a really funny dream the next morning when narcissus.,English
l woke up she was all smiles and giggles here sweetheart tell me what did you dream about.,English
last night well mom it was such an amazing dream you know there was this prince who came up to me.,English
and said that he wanted to marry me he had come in a golden carriage and he was dressed from top to bottom and gold as well what a silly dream.,English
and you know the best part of it was when i was in my wedding dress which was of gold too of course everyone was staring at only me narcisa there is nothing amazing about that dream.,English
it was a very egotistical dream mom you don't know what you're saying that dream has made me realize that i need food much grander than the type i eat here at home bread made of gold.,English
just think of that poor narcissus mother was so worried about her daughter and how.,English
she would live her life that day two friends came to visit narcissus mother they were mellie and terry the three of them had been friends for ages but terry and ellie had a secret both of them.,English
were magical beings something that narcisse's mother knew nothing about terry melli oh it's so good to see you it's been very long hasn't it how have you been i have been very good i would have been better if only if only what if only my daughter narcisa was a little more understanding marian told mellie and terry all about narcisa and how she was worried for her she wants to eat bread made of gold what do i do with her well maybe if her dream comes true.,English
that would be wonderful wouldn't it well no matter i guess in time she will grow to learn let's talk about something else.,English
now later on mellie and terry waved goodbye to their old friend and went away smiling to each other secretively that night both mother and daughter.,English
got ready for bed mother i really hope my dream comes true you know oh narcisa the next day as narcisa and her mother were outside in their garden a beautiful.,English
golden carriage came riding up to them it was studded in gems and diamonds and looked extremely stunning.,English
as it stopped a handsome man came out of it and looked at narcisa she was completely taken aback at how handsome he was my dream is actually coming true umm.,English
what hello i have come here to ask for narcissus hand in marriage but how do you know her name and who are you.,English
i am terrence the angel of good fortunes your daughter's name and beauty is known throughout the world here i've brought you a gift what but you hardly know him you can't go with him.,English
oh silly he's rich and handsome what more could i want terrence i accept your proposal.,English
and with that she got into his carriage and without even saying goodbye to her mother rode off with the angel as they were travelling the carriage suddenly entered a magical portal there it traveled through a stormy area the carriage bumped around tremendously and narcissa.,English
was very scared don't worry my dear all of this will soon be over just as he said this the carriage went through another portal and reached the driveway.,English
of a huge and magnificent golden castle narcisa was amazed at all the beauty she saw i knew i deserve so many riches i knew you'd like it anything you want you will find here from the prettiest of dresses to the tastiest of foods all of it in my palace well speaking of food i'm really hungry after that ride i'm starving can i have any of that tasty food of course here meat smelly melissa she will get you whatever you want i've heard so much about you you poor dear you're hungry aren't you come let's go to the dining table and i'll get you some food oh thank you they went into the dining room and there on the table was the most astounding food narcisa had ever seen amazing that's because it is the jams are made.,English
of rubies the salads of emeralds and the bread over there is made of gold golden bread how lovely this jam will look and taste lovely with the bread she took a slice with the.,English
ruby jam on it and took a huge bite this is so hot i can't eat this well it is bread made of gold and the finest too but if you can't eat it should i get you silver bread silver huh why don't you eat.,English
something else but i want normal bread bread which i can eat don't you have that look so wife-to-be of my sire shell it's cold you must only eat the best narcis l looked at all the food.,English
but was heartbroken for everything there was inedible she soon started to cry i don't want this but the food is really good.,English
here try some golden potatoes they're really good and after you're married to me.,English
you'll have to eat all of this i thought you liked fancy things no i don't want to marry you i want to go home.,English
to my mother let me go home melissa and terrence looked at each other and winked well.,English
if that's really what you want then i'll take you home terrence took the crying and unhappy.,English
narcis at home in the carriage she started to think deeply about the choices she had made when she reached home.,English
she ran to hug her mother who was sitting in the house sad nor sister o my sweet daughter i thought i'd never see you again.,English
oh mom i love you so much and you were right looks and riches aren't everything the gold bread was useless as i couldn't eat it and the man even though.,English
he was handsome he didn't care for me at all but my dear do you realize that that is exactly the way you treated others i know i'm so sorry for the way i acted mom oh no it's alright since you've seen.,English
what your mistake was come let's feed you something nice from that day onwards.,English
narcisa changed her ways she struggled at first but slowly and patiently she started to become a lot nicer one day mellie and terry came to meet marian again oh hello you two so tell us marian.,English
how's narcissism now marian told them both everything that had happened and she's changed so much from that time.,English
has she i guess she wouldn't want any more gold bread now huh you know.,English
terry you actually look a little like that angel though what am i seeing how could you be him you two are so nice,English
"
.നാമെല്ലാവരും ഇംഗ്ലീഷിൽ കൂടുതൽ പ്രാവീണ്യമുള്ളവരാകാനുള്ള ദ്രുത വഴികൾ തേടുകയാണ്, എനിക്കറിയാം എന്താണ് സംഭവിക്കുന്നതെന്ന് ഞങ്ങളുടെ തലച്ചോറിനെ ചുറ്റിപ്പറ്റിയുള്ള കുറച്ച് വാക്കുകൾ മാത്രമേ ഉള്ളൂവെന്നും ഈ അത്ഭുതകരമായ രസകരമായ അല്ലെങ്കിൽ ഇതിഹാസം ഉപയോഗിച്ച് ഈ മുഴുവൻ സംഭാഷണവും നടത്തേണ്ടതുണ്ടെന്നും അതിനാൽ ഞങ്ങൾ എങ്ങനെ നിങ്ങളുടെ ദൈനംദിന ജീവിതത്തിൽ ഉപയോഗിക്കാൻ കഴിയുന്ന ചില മികച്ച പുതിയ ഇംഗ്ലീഷ് വാക്കുകൾ മനസിലാക്കുകയും മിനിറ്റുകൾക്കുള്ളിൽ നിങ്ങളുടെ പദാവലി ഉയർത്തുകയും ചെയ്യുക.",Malayalam
"അതിനാൽ ഇന്ന് ഞങ്ങൾ 10 പുതിയ സ്മാർട്ട് പദങ്ങൾ അവയുടെ അർത്ഥങ്ങൾ റൂട്ട് വാക്കുകളും ഉദാഹരണ വാക്യങ്ങളും പഠിക്കാൻ പോകുന്നു, അതിനാൽ നമുക്ക് പോകാം എല്ലാവരേയും ഹേയ് ഇതാണ്, നിങ്ങൾ കാണുന്നു.",Malayalam
ഈ വീഡിയോയിൽ ഞാൻ നിങ്ങൾക്ക് ദൈനംദിന ഉപയോഗത്തിനും ഈ വീഡിയോയുടെ അവസാനത്തിലും 10 മികച്ച വാക്കുകൾ നൽകും.,Malayalam
ശരിക്കും നിഷ്പ്രയാസം സ്മാർട്ട് വേഡ് നമ്പർ നൽകുന്നതിന് ഞാൻ നിങ്ങൾക്ക് ഒരു മികച്ച ടിപ്പ് നൽകും.,Malayalam
ഒന്ന് ചതുപ്പുനിലമാണ് ചതുപ്പുനിലം എന്നാണ് മുങ്ങുക അല്ലെങ്കിൽ വെള്ളപ്പൊക്കം എന്നാൽ ചതുപ്പുനിലം പലപ്പോഴും ഞാൻ പോലുള്ള ജോലിയുടെ പശ്ചാത്തലത്തിൽ ഉപയോഗിക്കുന്നു.,Malayalam
"m ജോലിയിൽ ചതുപ്പുനിലമാണ് എനിക്ക് വളരെയധികം ജോലിയുണ്ട്, ഈ ആഴ്ച മുഴുവൻ എനിക്ക് ജോലിയിൽ ചതുപ്പുനിലമായിട്ടുണ്ട്, എനിക്ക് ശ്വസിക്കാൻ സമയമില്ല, ഇപ്പോൾ ഈ വാക്കിന്റെ മൂലം നോക്കാം.",Malayalam
"ചതുപ്പ് ഒരു തണ്ണീർത്തടമാണ്, ആരെങ്കിലും ചതുപ്പുനിലത്ത് തെറ്റായ സ്ഥലത്ത് കാലെടുത്തുവച്ചാൽ അവർക്ക് എളുപ്പത്തിൽ മുങ്ങാം, ചതുപ്പിന്റെ ക്രിയാപദം അർത്ഥമാക്കുന്നത് മുങ്ങുക എന്നതാണ്, അതിനാൽ നിങ്ങൾക്ക് ഈ പദം എങ്ങനെ ഉപയോഗിക്കാം.",Malayalam
നിങ്ങൾക്ക് ധാരാളം അസൈൻമെന്റുകൾ ഉണ്ടെന്നും നിങ്ങൾക്ക് ഒരു പരീക്ഷണം വരുന്നുണ്ടെന്നും നിങ്ങളുടെ സുഹൃത്തുക്കൾ നിങ്ങളുടെ അടുത്തേക്ക് വരുമെന്നും അവർ പറയുന്നു.,Malayalam
"ഹേയ് എന്തുകൊണ്ടാണ് നിങ്ങൾ ഞങ്ങളുമായി ഹാംഗ് out ട്ട് ചെയ്യാത്തത് എന്ന് നിങ്ങൾക്ക് അവരോട് പറയാൻ കഴിയും എനിക്ക് ക്ഷമിക്കണം, പക്ഷേ ഞാൻ ജോലിയിൽ മുഴുകിയിരിക്കുന്നു അല്ലെങ്കിൽ ചതുപ്പുനിലത്തിന് പകരം നിങ്ങൾക്ക് ഉപയോഗിക്കാവുന്ന മറ്റ് ചില വാക്കുകൾ ഞാൻ ചതുപ്പുനിലമാക്കി.",Malayalam
ചെയ്യാൻ.,Malayalam
എന്റെ പ്ലേറ്റിൽ വളരെയധികം കാര്യങ്ങൾ ഞാൻ ജോലിയിൽ മുങ്ങുന്നു.,Malayalam
"അസൈൻമെന്റുകളിൽ ഞാൻ വ്യാമോഹിതനാണ് സ്മാർട്ട് വേഡ് നമ്പർ രണ്ട് ക്യാച്ച് -22 ആണ്, ഇപ്പോൾ എനിക്ക് ഉറപ്പുണ്ട് ' ക്യാച്ച് -22 ന് മുമ്പ് ഈ വാക്ക് ഞങ്ങൾ കേട്ടിട്ടുണ്ട്, നിങ്ങൾ അസാധ്യമായ ഒരു സാഹചര്യത്തെ അർത്ഥമാക്കുന്നു, അതിൽ നിങ്ങൾ മറ്റൊന്ന് ചെയ്തിട്ടില്ലെങ്കിൽ നിങ്ങൾക്ക് മറ്റൊന്ന് ചെയ്യാൻ കഴിയില്ല, കാരണം നിങ്ങൾ ആദ്യത്തേത് ചെയ്തിട്ടില്ല.",Malayalam
"ഞാൻ നിങ്ങളെ ആശയക്കുഴപ്പത്തിലാക്കി, അതിനാൽ നിങ്ങൾക്ക് പ്രവൃത്തി പരിചയം ഇല്ലാതെ ജോലി ലഭിക്കാത്ത സാഹചര്യമാണ് ഒരു ക്യാച്ച് -22 സാഹചര്യം.",Malayalam
രണ്ടാം ലോക മഹായുദ്ധസമയത്ത് സൈനികർക്ക് ബാധകമായ ചില പരസ്പരവിരുദ്ധമായ നിയമങ്ങൾ വിവരിക്കുമ്പോൾ ജോസഫ് ഹെല്ലർ തന്റെ പ്രസിദ്ധമായ ക്യാച്ച് -22 എന്ന തന്റെ പ്രസിദ്ധമായ പുസ്തകത്തിൽ ക്യാച്ച് -22 സൃഷ്ടിച്ചു.,Malayalam
ക്യാച്ച് -22 ന്റെ മറ്റൊരു ഉദാഹരണം നിങ്ങൾക്ക് ആവശ്യത്തിന് ഇല്ലാത്തതിനാൽ നിങ്ങൾക്ക് ബാങ്ക് വായ്പ ആവശ്യമാണ്.,Malayalam
"പണം എന്നാൽ നിങ്ങൾക്ക് മതിയായ പണമുണ്ടെന്ന് ബാങ്കിനോട് തെളിയിച്ചില്ലെങ്കിൽ നിങ്ങൾക്ക് ആ ബാങ്ക് വായ്പ ലഭിക്കില്ല, അതിനാൽ അടുത്ത തവണ നിങ്ങൾ ഒരു വിഷമകരമായ അവസ്ഥയിൽ കുടുങ്ങുമ്പോൾ ഓർക്കുക.",Malayalam
ക്യാച്ച് -22 എന്ന പദം ഉപയോഗിക്കാൻ.,Malayalam
ക്യാച്ച് -22 ന്റെ സ്ഥാനത്ത് നിങ്ങൾക്ക് ഉപയോഗിക്കാൻ കഴിയുന്ന മറ്റ് വാക്കുകൾ വിരോധാഭാസം അല്ലെങ്കിൽ ധർമ്മസങ്കടമുള്ള സ്മാർട്ട് പദമാണ്.,Malayalam
